epoch,train/box_loss,train/cls_loss,val/box_loss,val/cls_loss,metrics/mAP50(B)
0,1.2832,2.5,1.2432,2.4,0.001
1,1.2737,2.5,1.2356,2.4,0.001
2,1.2515,2.5,1.2153,2.4,0.004
3,1.2458,2.5,1.2113,2.4,0.0062
4,1.2141,2.4614,1.1814,2.4,0.0029
5,1.2146,2.4354,1.1836,2.3821,0.001
6,1.1866,2.4155,1.1572,2.3653,0.003
7,1.1672,2.3812,1.1394,2.3342,0.0012
8,1.1472,2.3643,1.121,2.3203,0.001
9,1.1423,2.3305,1.1177,2.2894,0.0063
10,1.124,2.2972,1.1009,2.259,0.0057
11,1.1096,2.2826,1.088,2.2473,0.0074
12,1.095,2.2658,1.0748,2.2332,0.0023
13,1.0811,2.2431,1.0624,2.2133,0.0028
14,1.0596,2.2129,1.0422,2.1857,0.0013
15,1.0496,2.1942,1.0335,2.1697,0.001
16,1.0344,2.1692,1.0196,2.1473,0.005
17,1.0142,2.1198,1.0008,2.1004,0.0012
18,1.0051,2.1207,0.9929,2.1038,0.0083
19,0.9965,2.1001,0.9854,2.0856,0.001
20,0.9693,2.0641,0.9594,2.0519,0.0064
21,0.9643,2.0479,0.9556,2.0381,0.0064
22,0.9513,2.0207,0.9437,2.0132,0.008
23,0.9484,2.0069,0.9419,2.0016,0.0056
24,0.9233,1.9898,0.9179,1.9867,0.0093
25,0.9098,1.9632,0.9055,1.9623,0.0059
26,0.9012,1.9261,0.8978,1.9272,0.0047
27,0.8889,1.9213,0.8865,1.9245,0.0083
28,0.8804,1.8964,0.879,1.9016,0.0058
29,0.8641,1.8686,0.8636,1.8757,0.0062
30,0.8586,1.8688,0.859,1.8779,0.0092
31,0.8363,1.8346,0.8376,1.8456,0.0097
32,0.8269,1.8083,0.8291,1.8211,0.01
33,0.8158,1.7875,0.8189,1.8021,0.006
34,0.8152,1.7675,0.8191,1.7839,0.0105
35,0.7944,1.7584,0.799,1.7765,0.0102
36,0.7976,1.7542,0.803,1.774,0.0155
37,0.7713,1.7232,0.7774,1.7447,0.0078
38,0.7782,1.7104,0.7851,1.7334,0.0128
39,0.7563,1.6841,0.7639,1.7087,0.0054
40,0.7582,1.6631,0.7665,1.6893,0.0128
41,0.7317,1.6359,0.7407,1.6636,0.0061
42,0.7331,1.6259,0.7428,1.6551,0.014
43,0.7102,1.6107,0.7205,1.6414,0.0103
44,0.7191,1.5903,0.73,1.6224,0.0064
45,0.6982,1.5708,0.7097,1.6042,0.0167
46,0.6961,1.5689,0.7082,1.6037,0.0136
47,0.6816,1.5303,0.6943,1.5664,0.0198
48,0.6767,1.5279,0.6899,1.5652,0.0195
49,0.6571,1.5162,0.6708,1.5548,0.0166
50,0.6517,1.4913,0.6659,1.5311,0.0166
51,0.6426,1.4921,0.6573,1.5332,0.0213
52,0.6419,1.4557,0.6571,1.4979,0.0195
53,0.6338,1.4541,0.6495,1.4975,0.0151
54,0.6137,1.4337,0.6299,1.4782,0.0196
55,0.6284,1.4224,0.645,1.468,0.0223
56,0.615,1.3935,0.632,1.4401,0.0203
57,0.5938,1.3819,0.6112,1.4295,0.0205
58,0.592,1.3798,0.6099,1.4284,0.0253
59,0.5888,1.3648,0.607,1.4144,0.0232
60,0.5637,1.3452,0.5823,1.3957,0.0239
61,0.5746,1.325,0.5935,1.3765,0.0209
62,0.5592,1.3339,0.5785,1.3863,0.026
63,0.5585,1.2912,0.5782,1.3445,0.0284
64,0.549,1.2947,0.5689,1.3488,0.0304
65,0.5422,1.2768,0.5624,1.3317,0.0275
66,0.5267,1.2698,0.5473,1.3256,0.0297
67,0.5246,1.2536,0.5455,1.3102,0.0288
68,0.5211,1.2298,0.5423,1.2871,0.0276
69,0.5163,1.2242,0.5378,1.2823,0.0375
70,0.511,1.2192,0.5327,1.278,0.0356
71,0.5036,1.2131,0.5255,1.2726,0.037
72,0.4945,1.1897,0.5167,1.2499,0.0388
73,0.4851,1.1767,0.5075,1.2376,0.0417
74,0.4898,1.1699,0.5124,1.2314,0.0325
75,0.4794,1.1589,0.5022,1.2211,0.0448
76,0.4743,1.1504,0.4974,1.2132,0.0413
77,0.4712,1.1163,0.4944,1.1797,0.0479
78,0.4628,1.1339,0.4862,1.1979,0.0477
79,0.46,1.1211,0.4836,1.1856,0.0504
80,0.4499,1.1004,0.4737,1.1655,0.0518
81,0.457,1.0908,0.481,1.1564,0.0585
82,0.4388,1.0732,0.4629,1.1393,0.0516
83,0.437,1.0587,0.4612,1.1253,0.0612
84,0.4342,1.0596,0.4586,1.1267,0.0568
85,0.4311,1.0564,0.4556,1.1239,0.066
86,0.423,1.0507,0.4477,1.1187,0.0634
87,0.4242,1.0079,0.449,1.0763,0.0679
88,0.4064,0.9996,0.4313,1.0685,0.0664
89,0.4053,1.0102,0.4303,1.0795,0.0694
90,0.4005,0.9874,0.4257,1.057,0.0764
